COD_Q,DIA,HORARIO
1,SAB,07:00-08:30
1,SAB,08:45-10:15
2,SAB,10:30-12:00
3,TER,08:45-10:15
4,SEX,10:30:12:00
5,SEG,19:00-20:30
5,SEG,20:45-22:15
5,QUA,20:45-22:15
6,QUI,13:00-14:30
6,QUI,14:45-16:15
7,QUI,07:00-08:30
7,SEX,10:30-12:00
8,QUI,10:30-12:00
9,QUA,08:45-10:15
10,QUA,19:00-20:30
10,QUA,20:45-22:15
11,SEG,08:45-10:15
12,SEG,19:00-20:30
12,SEG,20:45-22:15
13,QUA,10:30-12:00
14,QUI,19:00-20:30
14,QUI,20:45-22:15
15,SAB,07:00-08:30
15,SAB,08:45-10:15
16,TER,10:30:12:00
17,QUI,10:30:12:00
18,QUI,07:00-08:30
18,QUI,08:45-10:15
19,SEG,08:45-10:15
19,QUI,08:45-10:15
20,QUI,19:00-20:30
20,QUI,20:45-22:15
21,SEX,10:30:12:00
22,QUA,20:45-22:15
22,QUA,19:00-20:30
23,QUI,10:30:12:00
24,TER,10:30:12:0
24,QUI,07:00-08:30
25,TER,07:00-08:30
25,TER,08:45-10:15
26,SEG,07:00-08:30
26,SEG,08:45-10:15
27,SEX,10:30-12:00
28,QUI,19:00-20:30
28,QUI,20:45-22:15
29,SEG,19:00-20:30
29,SEG,20:45-22:15
30,TER,20:45-22:15
30,QUA,19:00-20:30
31,SEX,19:00-20:30
31,SEX,20:45-22:15
32,SEG,10:30:12:00
32,SEG,08:45-10:15
33,SEX,08:00-10:15
34,TER,07:00-08:30
34,TER,08:45-10:15
35,TER,19:00-20:30
35,TER,20:45-22:15
36,TER,10:30-12:00
37,SEG,10:30-12:00
38,SEG,13:45-15:30
39,QUI,08:45-10:15
40,QUI,10:30-12:00
41,TER,08:45-10:15
41,TER,08:45-10:15
42,TER,08:45-10:15
42,SEX,07:00-08:30
43,QUA,19:00-20:30
44,SEG,19:00-20:30
44,SEG,20:45-22:15
44,QUA,20:45-22:15
45,SEX,19:00-20:30
45,SEX,20:45-22:15
46,QUA,19:00-20:30
47,SEG,20:45-22:00
47,SEG,19:00-20:30
48,SEX,19:00-20:30
48,SEX,20:45-22:15
49,SAB,07:00-08:30
49,SAB,08:45-10:15
50,SEG,19:00-20:30
50,SEG,20:45-22:15
51,TER,19:00-20:30
51,TER,20:45-22:15
52,SEG,08:45-10:15
52,SEG,10:30-12:00
53,QUI,13:00-14:30
53,QUI,13:00-14:30
54,QUI,08:45-10:15
54,QUI,07:00-08:30
55,SEG,19:00-20:30
55,SEG,20:45-22:15
56,SEG,13:00-14:30
57,SEG,08:45-10:15
58,SEX,07:00-08:30
58,SEX,08:45-10:15
59,TER,19:00-20:30
59,TER,20:45-22:15
60,SEX,19:00-20:30
60,SEX,20:45-22:15
61,TER,08:45-10:15
61,TER,10:30-12:00
62,QUI,07:00-08:30
63,SEX,08:45-10:15
64,SEX,10:30:12:00
65,QUI,08:45-10:15
66,QUI,10:30-12:00
67,QUI,19:00-20:30
67,QUI,20:45-22:15
68,QUA,20:45-22:15
69,SAB,07:00-08:30
70,TER,20:45-22:15
70,TER,19:00-20:30
71,SAB,07:00-08:30
71,SAB,08:45-10:15
71,SAB,10:30-12:00
72,QUI,10:30-12:00
73,TER,07:00-08:30
74,QUA,07:00-08:30
74,QUA,08:45-10:15
75,SEG,07:00-08:30
76,SEG,08:45-10:15
77,SEG,13:00-14:30
78,QUA,14:45-16:15
79,SEG,07:00-08:30
80,SEG,08:45-10:15
81,TER,07:00-08:30
81,SEX,07:00-08:30
82,TER,20:45-22:15
82,TER,19:00-20:30
83,SEX,08:45-10:15
