COD_Q,DIA,HORARIO,Sala
1,SAB,07:00-08:30,TS-001
1,SAB,08:45-10:15,TS-002
2,SAB,10:30-12:00,TS-003
3,TER,08:45-10:15,TS-004
4,SEX,10:30:12:00,TS-005
5,SEG,19:00-20:30,TS-006
5,SEG,20:45-22:15,TS-007
5,QUA,20:45-22:15,TS-008
6,QUI,13:00-14:30,TS-009
6,QUI,14:45-16:15,TS-010
7,QUI,07:00-08:30,TS-011
7,SEX,10:30-12:00,TS-012
8,QUI,10:30-12:00,TS-013
9,QUA,08:45-10:15,S-305
10,QUA,19:00-20:30,S-310
10,QUA,20:45-22:15,S-310
11,SEG,08:45-10:15,S-307
12,SEG,19:00-20:30,S-306
12,SEG,20:45-22:15,S-306
13,QUA,10:30-12:00,S-305
14,QUI,19:00-20:30,TS-021
14,QUI,20:45-22:15,TS-022
15,SAB,07:00-08:30,TS-023
15,SAB,08:45-10:15,TS-024
16,TER,10:30:12:00,TS-025
17,QUI,10:30:12:00,TS-026
18,QUI,07:00-08:30,TS-027
18,QUI,08:45-10:15,TS-028
19,SEG,08:45-10:15,TS-029
19,QUI,08:45-10:15,TS-030
20,QUI,19:00-20:30,TS-031
20,QUI,20:45-22:15,TS-032
21,SEX,10:30:12:00,TS-033
22,QUA,20:45-22:15,TS-034
22,QUA,19:00-20:30,TS-035
23,QUI,10:30:12:00,TS-036
24,TER,10:30:12:0,TS-037
24,QUI,07:00-08:30,TS-038
25,TER,07:00-08:30,TS-039
25,TER,08:45-10:15,TS-040
26,SEG,07:00-08:30,TS-041
26,SEG,08:45-10:15,TS-042
27,SEX,10:30-12:00,TS-043
28,QUI,19:00-20:30,TS-044
28,QUI,20:45-22:15,TS-045
29,SEG,19:00-20:30,TS-046
29,SEG,20:45-22:15,TS-047
30,TER,20:45-22:15,TS-048
30,QUA,19:00-20:30,TS-049
31,SEX,19:00-20:30,TS-050
31,SEX,20:45-22:15,TS-051
32,SEG,10:30:12:00,TS-052
32,SEG,08:45-10:15,TS-053
33,SEX,08:00-10:15,TS-054
34,TER,07:00-08:30,TS-055
34,TER,08:45-10:15,TS-056
35,TER,19:00-20:30,TS-057
35,TER,20:45-22:15,TS-058
36,TER,10:30-12:00,TS-059
37,SEG,10:30-12:00,TS-060
38,SEG,13:45-15:30,TS-061
39,QUI,08:45-10:15,TS-062
40,QUI,10:30-12:00,TS-063
41,TER,08:45-10:15,TS-064
41,TER,08:45-10:15,TS-065
42,TER,08:45-10:15,TS-066
42,SEX,07:00-08:30,TS-067
43,QUA,19:00-20:30,TS-068
44,SEG,19:00-20:30,TS-069
44,SEG,20:45-22:15,TS-070
44,QUA,20:45-22:15,TS-071
45,SEX,19:00-20:30,TS-072
45,SEX,20:45-22:15,TS-073
46,QUA,19:00-20:30,TS-074
47,SEG,20:45-22:00,TS-075
47,SEG,19:00-20:30,TS-076
48,SEX,19:00-20:30,TS-077
48,SEX,20:45-22:15,TS-078
49,SAB,07:00-08:30,TS-079
49,SAB,08:45-10:15,TS-080
50,SEG,19:00-20:30,TS-081
50,SEG,20:45-22:15,TS-082
51,TER,19:00-20:30,TS-083
51,TER,20:45-22:15,TS-084
52,SEG,08:45-10:15,TS-085
52,SEG,10:30-12:00,TS-086
53,QUI,13:00-14:30,TS-087
53,QUI,13:00-14:30,TS-088
54,QUI,08:45-10:15,TS-089
54,QUI,07:00-08:30,TS-090
55,SEG,19:00-20:30,TS-091
55,SEG,20:45-22:15,TS-092
56,SEG,13:00-14:30,TS-093
57,SEG,08:45-10:15,TS-094
58,SEX,07:00-08:30,TS-095
58,SEX,08:45-10:15,TS-096
59,TER,19:00-20:30,TS-097
59,TER,20:45-22:15,TS-098
60,SEX,19:00-20:30,TS-099
60,SEX,20:45-22:15,TS-100
61,TER,08:45-10:15,TS-101
61,TER,10:30-12:00,TS-102
62,QUI,07:00-08:30,TS-103
63,SEX,08:45-10:15,TS-104
64,SEX,10:30:12:00,TS-105
65,QUI,08:45-10:15,TS-106
66,QUI,10:30-12:00,TS-107
67,QUI,19:00-20:30,TS-108
67,QUI,20:45-22:15,TS-109
68,QUA,20:45-22:15,TS-110
69,SAB,07:00-08:30,TS-111
70,TER,20:45-22:15,TS-112
70,TER,19:00-20:30,TS-113
71,SAB,07:00-08:30,TS-114
71,SAB,08:45-10:15,TS-115
71,SAB,10:30-12:00,TS-116
72,QUI,10:30-12:00,TS-117
73,TER,07:00-08:30,TS-118
74,QUI,10:30-12:00,TS-119
75,TER,07:00-08:30,TS-120
76,QUA,07:00-08:30,TS-121
76,QUA,08:45-10:15,TS-122
77,SEG,07:00-08:30,TS-123
78,SEG,08:45-10:15,TS-124
79,SEG,13:00-14:30,TS-125
80,QUA,14:45-16:15,TS-126
81,TER,07:00-08:30,TS-127
81,SEX,07:00-08:30,TS-128
82,TER,20:45-22:15,TS-129
82,TER,19:00-20:30,TS-130
83,SEX,08:45-10:15,TS-131
