Turma,codDisciplina,CompCurricular,ProfPrincipal,Dia,AmbAprendizado
20181.CEE.1N,DPAA-2.086,Cálculo Diferencial e Integral I,Marcela Oliveira,[SEG 19:00~20:30 TER 20:45~22:15 SEX 19:00~20:30],S-109
20181.CEE.1N,DPAA-2.274,Física: Mecânica,SIMONE RAMALHO,[QUA 20:45~22:15 SEX 20:45~22:15],S-109
20181.CEE.1N,DPAA-2.275,Laboratório de Mecânica,ADRIANO ARAGAO,[SEG 20:45~22:15],S-805D
20181.CEE.1N,DPAA-4.304,Algoritmos e Técnicas de Programação,CLOVES FERREIRA,[QUA 19:00~20:30 QUI 19:00~20:30],S-310
20181.CEE.1N,DPAA-4.309,Introdução à Engenharia Elétrica,Arthur Pereira,[SAB 10:30~12:00],S-306
20181.CEE.3N,11816.0S,Desenho Técnico Assistido por Computador,ARQUIMEDES ,[QUA 20:45~22:15 SAB 08:45~10:15],S-310
20181.CEE.3N,11826.0S,Circuitos Elétricos I,PAULO BEZERRA,[SEG 19:00~20:30 SEG 20:45~22:15 QUI 20:45~22:15],S-308
20181.CEE.3N,11844.0S,Introdução à Economia,ADRIANO,[SAB 07:00~08:30],S-209
20181.CEE.3N,DPAA-2.094,Cálculo Diferencial e Integral III,Paulo Junior,[SEX 20:45~22:15 SAB 10:30~12:00],S-210
20181.CEE.3N,DPAA-2.117,Equações Diferenciais,HUGO LEONARDO DA SILVA BELISÁR,[TER 20:45~22:15 QUI 19:00~20:30],S-210
20181.CEE.3N,DPAA-2.276,"Física: Fluidos, Ondas e Calor",LEONARDO MARENGÃO,[QUA 19:00~20:30 SEX 19:00~20:30],S-108
20181.CEE.3N,DPAA-2.277,"Laboratório de Fluidos, Ondas e Calor",HERMINIA SILVA,[TER 19:00~20:30],S-805D
20181.CEE.5N,11834.0S,Mecânica dos Sólidos,ELIAS ,[QUI 19:00~20:30 QUI 20:45~22:15],S-109
20181.CEE.5N,11840.0S,Eletrônica Industrial,CARLOS ROBERTO,[SEX 19:00~20:30 SAB 07:00~08:30],S-308
20181.CEE.5N,DPAA-4.190,Sistemas Lineares,SAMIR ARABI,[SAB 08:45~10:15 SAB 10:30~12:00],S-305
20181.CEE.5N,DPAA-4.333,Eletrônica Digital I,ÉDIO CARDOSO,[TER 07:00~08:30 TER 08:45~10:15],S-304
20181.CEE.5N,DPAA-4.334,Eletrônica Digital II,ÉDIO CARDOSO,[SEG 19:00~20:30 SEG 20:45~22:15],S-304
20181.CEE.5N,DPAA-4.336,Conversão de Energia Elétrica,Arthur Pereira,[TER 19:00~20:30 TER 20:45~22:15],S-307
20181.CEE.5N,DPAA-4.364,Redes de Computadores,FÁBIO MARQUES,[QUA 19:00~20:30 QUA 20:45~22:15 SEX 20:45~22:15],S-309
20181.CEE.7N,10703.0.54S,Fenômenos de Transporte,EDUARDO JOAQUIM,[SEG 19:00~20:30 SEG 20:45~22:15],T-401B
20181.CEE.7N,10723.0S,Máquinas Elétricas,Renato Dias,[SEX 19:00~20:30 SEX 20:45~22:15 SAB 10:30~12:00],S-307
20181.CEE.7N,DPAA-4.119,Processos Estocásticos,MARCOS,[SAB 07:00~08:30 SAB 08:45~10:15],S-301
20181.CEE.7N,DPAA-4.339,Dispositivos e Circuitos de Radiofrequência,MARCOS,[QUI 07:00~08:30 QUI 08:45~10:15],S-307
20181.CEE.7N,DPAA-4.342,Sistemas de Comunicação,CLÁUDIO FLEURY,[TER 19:00~20:30 TER 20:45~22:15],S-310
20181.CEE.7N,DPAA-4.344,Comunicações Móveis,Andre Coelho,[QUI 19:00~20:30],S-301
20181.CEE.7N,DPAA-4.428,Comutação Telefônica e Multiplexação,JOÃO BATISTA,[QUA 19:00~20:30 QUA 20:45~22:15 QUI 20:45~22:15],S-301
20181.CEE.9N,11835.0S,Sistemas de Controle I,CARLOS ROBERTO,[QUI 20:45~22:15 SEX 20:45~22:15],S-307
20181.CEE.9N,11841.0S,Instrumentação Industrial I,,,
