CODIGO;COMP_CURRICULAR;PERIODO;CREDITOS
10074.4.54;Artes(54H);1;54
10032.4.54;Biologia I(54H);1;54
DPAA-1.4;Educação Física I(81H);1;81
DPAA-4.497;Eletricidade I - Cc(108H);1;108
DPAA-1.022;Filosofia I(54H);1;54
DPAA-2.019;Física I(54H);1;54
10043.4.54;Geografia I(54H);1;54
10038.0.54C;História I(54H);1;54
DPAA-1.186;Língua Estrangeira - Inglês I(54H);1;54
DPAA-1.021;Língua Portuguesa I(54H);1;54
DPAA-2.018;Matemática I(54H);1;54
11913.0;Práticas de Laboratório I(54H);1;54
10041.4.54;Química I(54H);1;54
DPAA-1.023;Sociologia I(54H);1;54
DPAA-2.121;Biologia II(54H);2;54
DPAA-1.5;Educação Física II(81H);2;81
DPAA-2.287;Eletricidade II - Ca(54H);2;0
DPAA-2.288;Eletrônica Analógica(108H);2;108
DPAA-1.136;Filosofia II(54H);2;54
DPAA-2.122;Física II(54H);2;54
DPAA-1.135;Geografia II(54H);2;54
DPAA-1.134;História II(54H);2;54
DPAA-1.187;Língua Estrangeira – Inglês II(54H);2;54
DPAA-1.133;Língua Portuguesa II(54H);2;54
DPAA-2.119;Matemática II(54H);2;54
DPAA-2.286;Prática de Laboratório II(54H);2;54
DPAA-2.120;Química II(54H);2;54
DPAA-1.137;Sociologia II(54H);2;54
DPAA-2.098.1;Biologia III(54H);3;54
DPAA-1.6;Educação Física III(81H);3;81
DPAA-4.418;Eletrônica Digital(108H);3;108
DPAA-1.182;Filosofia III(54H);3;54
DPAA-2.099.1;Física III(54H);3;54
DPAA-1.100.1;Geografia III(54H);3;54
DPAA-1.099.1;História III(54H);3;54
DPAA-2.146;Informática Aplicada(54H);3;54
10774.4.54;Língua Portuguesa III(54H);3;54
DPAA-2.096.1;Matemática III(54H);3;54
DPAA-2.132;Química III(54H);3;54
DPAA-1.183;Sociologia III(54H);3;54
DPAA-4.419;Técnicas de Modulação(108H);3;108
DPAA-4.423;Análise de Circuitos(108H);4;108
DPAA-4.424;Comutação Telefônica(108H);4;108
DPAA-1.185;Língua Estrangeira - Espanhol(54H);4;54
DPAA-1.184;Língua Portuguesa IV(54H);4;54
DPAA-2.100.1;Matemática IV(54H);4;54
DPAA-4.091;Microcontroladores(54H);4;54
DPAA-4.421;Propagação e Antenas(108H);4;108
DPAA-4.420;Redes de Computadores(108H);4;108
DPAA-2.165 ;Segurança do Trabalho;4;54
DPAA-4.422;Sistemas de Comunicação(108H);4;108
